legacy_file,status,modern_recipe,reason
"ethaxiumingot_alt",MIGRATED,"abyssalcraft:ethaxiumingot_alt",""
"ethaxiumingot_alt_alt",REPLACED,"abyssalcraft:ethaxium_ingot_from_block","equivalent modern recipe already exists"
"ethaxiumingot_alt_alt_alt",MIGRATED,"abyssalcraft:ethaxiumingot_alt_alt_alt",""
"ethaxiumlegs",MIGRATED,"abyssalcraft:ethaxiumlegs",""
"ethaxiumpickaxe",MIGRATED,"abyssalcraft:ethaxiumpickaxe",""
"ethaxiumpillar",MIGRATED,"abyssalcraft:ethaxiumpillar",""
"ethaxiumplate",MIGRATED,"abyssalcraft:ethaxiumplate",""
"ethaxiumshovel",MIGRATED,"abyssalcraft:ethaxiumshovel",""
"ethaxiumsword",MIGRATED,"abyssalcraft:ethaxiumsword",""
"fire_charge",MIGRATED,"abyssalcraft:fire_charge",""
"gatewaykey",MIGRATED,"abyssalcraft:gatewaykey",""
"gunpowder",MIGRATED,"abyssalcraft:gunpowder",""
"ingotblock_0",REPLACED,"abyssalcraft:block_of_abyssalnite","equivalent modern recipe already exists"
"ingotblock_1",REPLACED,"abyssalcraft:block_of_refined_coralium","equivalent modern recipe already exists"
"ingotblock_2",REPLACED,"abyssalcraft:block_of_dreadium","equivalent modern recipe already exists"
"ingotblock_3",REPLACED,"abyssalcraft:block_of_ethaxium","equivalent modern recipe already exists"
"ingotnugget_0",MIGRATED,"abyssalcraft:ingotnugget_0",""
"ingotnugget_1",MIGRATED,"abyssalcraft:ingotnugget_1",""
"ingotnugget_2",MIGRATED,"abyssalcraft:ingotnugget_2",""
"ingotnugget_3",MIGRATED,"abyssalcraft:ingotnugget_3",""
"lifecrystal",MIGRATED,"abyssalcraft:lifecrystal",""
"monolithpillar",MIGRATED,"abyssalcraft:monolithpillar",""
"necronomicon",MIGRATED,"abyssalcraft:necronomicon",""
"necronomicon_cor",MIGRATED,"abyssalcraft:necronomicon_cor",""
"necronomicon_dre",MIGRATED,"abyssalcraft:necronomicon_dre",""
"necronomicon_omt",MIGRATED,"abyssalcraft:necronomicon_omt",""
"oblivionshard",MIGRATED,"abyssalcraft:oblivionshard",""
"odbcore",MIGRATED,"abyssalcraft:odbcore",""
"platec",MIGRATED,"abyssalcraft:platec",""
"portal_anchor",MIGRATED,"abyssalcraft:portal_anchor",""
"powerstonetracker",MIGRATED,"abyssalcraft:powerstonetracker",""
"rendingpedestal",MIGRATED,"abyssalcraft:rendingpedestal",""
"research_table",MIGRATED,"abyssalcraft:research_table",""
"ring",MIGRATED,"abyssalcraft:ring",""
"sacrificialaltar",MIGRATED,"abyssalcraft:sacrificialaltar",""
"sequential_brewing_stand",MIGRATED,"abyssalcraft:sequential_brewing_stand",""
"shadowfragment",MIGRATED,"abyssalcraft:shadowfragment",""
"shadowgem",MIGRATED,"abyssalcraft:shadowgem",""
"shadowshard",MIGRATED,"abyssalcraft:shadowshard",""
"shadowshard_alt",MIGRATED,"abyssalcraft:shadowshard_alt",""
"skin_0",MIGRATED,"abyssalcraft:skin_0",""
"skin_1",MIGRATED,"abyssalcraft:skin_1",""
"skin_2",MIGRATED,"abyssalcraft:skin_2",""
"spawn_egg",RETIRED,"abyssalcraft:shadowboss_spawn_egg","legacy ODB recipe created an NBT-tagged Sacthoth egg; modern content has a dedicated egg"
"statetransformer",MIGRATED,"abyssalcraft:statetransformer",""
"stonetablet",MIGRATED,"abyssalcraft:stonetablet",""
"torch",MIGRATED,"abyssalcraft:torch",""
